J-Date,Date,Weekday,Open,High,Low,Close
1391-12-14,2013-03-04,Monday,33300,34700,33300,34400
1391-12-15,2013-03-05,Tuesday,34800,35900,34800,35900
1391-12-16,2013-03-06,Wednesday,36400,36400,35700,35700
1391-12-18,2013-03-08,Friday,35450,35450,34800,34800
1391-12-19,2013-03-09,Saturday,34850,34850,34450,34750
1391-12-20,2013-03-10,Sunday,35300,35500,34900,35100
1391-12-21,2013-03-11,Monday,35050,35050,34700,34750
1391-12-22,2013-03-12,Tuesday,34300,34450,34100,34400
1391-12-23,2013-03-13,Wednesday,34200,34250,34000,34000
1391-12-25,2013-03-15,Friday,33950,33950,33300,33320
1391-12-26,2013-03-16,Saturday,33400,34200,33400,34100
1391-12-27,2013-03-17,Sunday,34000,34050,33950,34050
1392-01-16,2013-04-05,Friday,34500,35400,34500,35100
1392-01-17,2013-04-06,Saturday,36000,36400,35950,36350
1392-01-18,2013-04-07,Sunday,36150,36150,35400,35400
1392-01-19,2013-04-08,Monday,35400,35650,35400,35400
1392-01-20,2013-04-09,Tuesday,35500,35500,35150,35150
1392-01-21,2013-04-10,Wednesday,35300,35300,35050,35050
1392-01-23,2013-04-12,Friday,35200,35300,35050,35150
1392-01-25,2013-04-14,Sunday,35100,35200,35050,35050
1392-01-26,2013-04-15,Monday,35200,35200,35000,35050
1392-01-27,2013-04-16,Tuesday,35100,35250,35100,35250
1392-01-28,2013-04-17,Wednesday,35350,35350,35300,35300
1392-01-30,2013-04-19,Friday,35450,35500,35100,35200
1392-01-31,2013-04-20,Saturday,35150,35350,35150,35350
1392-02-01,2013-04-21,Sunday,35450,35500,35400,35500
1392-02-02,2013-04-22,Monday,35600,35600,35450,35600
1392-02-03,2013-04-23,Tuesday,35650,36400,35650,36400
1392-02-04,2013-04-24,Wednesday,36350,36350,36150,36150
1392-02-06,2013-04-26,Friday,36200,36200,35850,35850
1392-02-07,2013-04-27,Saturday,35700,35850,35600,35850
1392-02-08,2013-04-28,Sunday,35800,36100,35800,35900
1392-02-09,2013-04-29,Monday,35950,35950,35800,35800
1392-02-10,2013-04-30,Tuesday,35750,35750,35700,35700
1392-02-11,2013-05-01,Wednesday,35400,35550,35400,35550
1392-02-13,2013-05-03,Friday,35700,35700,35500,35600
1392-02-14,2013-05-04,Saturday,35800,36000,35750,36000
1392-02-15,2013-05-05,Sunday,35850,35850,35700,35700
1392-02-16,2013-05-06,Monday,35650,35650,35550,35600
1392-02-17,2013-05-07,Tuesday,35650,35650,35450,35450
1392-02-18,2013-05-08,Wednesday,35350,35350,35300,35350
1392-02-20,2013-05-10,Friday,35300,35300,34650,34650
1392-02-21,2013-05-11,Saturday,34850,34900,34700,34900
1392-02-22,2013-05-12,Sunday,34850,35300,34850,35300
1392-02-23,2013-05-13,Monday,35270,35300,35250,35250
1392-02-24,2013-05-14,Tuesday,35000,35050,34750,35050
1392-02-25,2013-05-15,Wednesday,35100,35150,35100,35150
1392-02-27,2013-05-17,Friday,35160,35160,35000,35050
1392-02-28,2013-05-18,Saturday,34800,34900,34750,34750
1392-02-29,2013-05-19,Sunday,34550,34750,34500,34700
1392-02-30,2013-05-20,Monday,35000,35000,34900,34900
